Image number,Caption,Envelope number,Chemistry,Date developed,Location,Digitized,envelope notes
018-01,Right Caumasee Films [Starnberger See],018,Unknown,8/20/1947,"""Films, Switzerland"",Europe,""Lake Caumasee, Switzerland"",""Lake Starnberg, Germany"",Switzerland",checked,"Envelope has ""Starnberger See"" on the note line apparently referring to the entire roll in general"
018-02,Left Caumasee Films [Starnberger See],018,Unknown,8/20/1947,"""Films, Switzerland"",Europe,""Lake Caumasee, Switzerland"",""Lake Starnberg, Germany"",Switzerland",checked,"Envelope has ""Starnberger See"" on the note line apparently referring to the entire roll in general"
018-03,Nick [Starnberger See],018,Unknown,8/20/1947,"Europe,""Lake Starnberg, Germany"",Germany",checked,"Envelope has ""Starnberger See"" on the note line apparently referring to the entire roll in general"
018-04,Colored guy & girl [Starnberger See],018,Unknown,8/20/1947,"Europe,""Lake Starnberg, Germany"",Germany",checked,"Envelope has ""Starnberger See"" on the note line apparently referring to the entire roll in general"
018-05,me (by nick) [Starnberger See],018,Unknown,8/20/1947,"Europe,""Lake Starnberg, Germany"",Germany",checked,"Envelope has ""Starnberger See"" on the note line apparently referring to the entire roll in general"
018-06,Mike tattoo [Starnberger See],018,Unknown,8/20/1947,"Europe,""Lake Starnberg, Germany"",Germany",checked,"Envelope has ""Starnberger See"" on the note line apparently referring to the entire roll in general"
018-07,Mike  [Starnberger See],018,Unknown,8/20/1947,"Europe,""Lake Starnberg, Germany"",Germany",checked,"Envelope has ""Starnberger See"" on the note line apparently referring to the entire roll in general"
018-08,my tattoo [Starnberger See],018,Unknown,8/20/1947,"""Lake Starnberg, Germany"",Europe,Germany",checked,"Envelope has ""Starnberger See"" on the note line apparently referring to the entire roll in general"
018-09,view fr window [Starnberger See],018,Unknown,8/20/1947,"Europe,""Lake Starnberg, Germany"",Germany",checked,"Envelope has ""Starnberger See"" on the note line apparently referring to the entire roll in general"
018-10,enlarger in case [Starnberger See],018,Unknown,8/20/1947,"""Lake Starnberg, Germany"",Europe,Germany",checked,"Envelope has ""Starnberger See"" on the note line apparently referring to the entire roll in general"
018-11,enlarger set up [Starnberger See],018,Unknown,8/20/1947,"Germany,Europe,""Lake Starnberg, Germany""",checked,"Envelope has ""Starnberger See"" on the note line apparently referring to the entire roll in general"
018-12,room interior [Starnberger See],018,Unknown,8/20/1947,"Europe,""Lake Starnberg, Germany"",Germany",checked,"Envelope has ""Starnberger See"" on the note line apparently referring to the entire roll in general"
017-01,Grossmünster,017,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
017-02,Lindenhof,017,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
017-03,"Gemusebrucke, rathaus (illegible)",017,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
017-04,"Gemusebrucke, rathaus (illegible)",017,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
017-05,Zunfthaus zur Rüden,017,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
017-06,Peterskirche,017,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
017-07,Grossmünster,017,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
017-08,Fraumünster,017,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
017-09,Door Grossmünster,017,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
017-10,whole family,017,Unknown,8/13/1947,"Europe,Switzerland",checked,
017-11,whole family incl. jilly(?),017,Unknown,8/13/1947,"Switzerland,Europe",checked,
017-12,Ralph Alex in tub,017,Unknown,8/13/1947,"Switzerland,Europe",checked,
016-01,Uetliberg (illegible),016,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
016-02,left to right (1 of 3),016,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
016-03,left to right (2 of 3),016,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
016-04,left to right (3 of 3),016,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
016-05,far left (1 of 2),016,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
016-06,far left (2 of 2),016,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
016-07,oma opa jilli & me (eating?),016,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
016-08,ZHBH (Zürich Hauptbahnhof),016,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
016-09,Parade Platz,016,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
016-10,Parade Platz with Gross- and Fraumünster,016,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
016-11,Franz Carl Weber,016,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
016-12,University,016,Unknown,8/13/1947,"""Zurich, Switzerland"",Switzerland,Europe",checked,
015-01,Lottie Ralph Alex Me,015,Unknown,8/13/1947,"""Geneva, Switzerland"",Switzerland,Europe",checked,
015-02,Month Blanc,015,Unknown,8/13/1947,"""Geneva, Switzerland"",Switzerland,Europe",checked,
015-03,Russian Church,015,Unknown,8/13/1947,"""Geneva, Switzerland"",Switzerland,Europe",checked,
015-04,Reformation,015,Unknown,8/13/1947,"""Geneva, Switzerland"",Switzerland,Europe",checked,
015-05,Reformation,015,Unknown,8/13/1947,"""Geneva, Switzerland"",Switzerland,Europe",checked,
